Data;Melhorias e Implementações
2026-07-12;"Recurso: permitir ao líder editar dados do time (nome, cidade e logo)"
2026-07-12;"Recurso: adicione votação MVP, operações de correspondência e validações de sumula"
2026-07-01;"Adicionar aviso de 4ª e 5ª falta na súmula de futsal"
2026-06-17;"Recurso(championship): adicionar opção para definir contagem de rodadas personalizadas e visualizar jogos por rodada antes de gerar"
2026-06-15;"Recurso(championship): remova a opção de formato de eliminação dupla e melhore as explicações de formato"
2026-06-15;"Recurso(team): remova o capitão global padrão do TeamForm para impor liderança baseada no contexto"
2026-06-02;"Recurso(voice): melhorar a correspondência de jogadores de sumula de voz de basquete e identificação de equipe"
2026-06-02;"Recurso: permitir copiar elenco de outros campeonatos com pré-visualização de jogadores"
2026-05-28;"Recurso: use a coluna do banco de dados sport.category_type no frontend do React para uma classificação esportiva de tempo robusta"
2026-05-28;"Recurso: filtrar dinamicamente esportes e campeonatos dentro do ArtEditor com base no modo escolhido"
2026-05-27;"Recurso: restaurar listagem e marcação de voltas por atleta com filtro de equipes nos temporizadores"
2026-05-26;"configurações adicionar"
2026-05-26;"Recurso: melhorias no sistema esportivo de tempo/voltas e correções na súmula de basquete por voz"
2026-05-25;"Recurso: alinhe o cronômetro da súmula de futsal e a lógica de final de partida com o futebol 7"
2026-05-25;"Recurso: implementar resultados públicos de revezamento da equipe, melhores estatísticas de volta, faltas de futsal, filtro de cronômetro da equipe e ícone de natação"
2026-05-22;"Recurso: corrija tempos e voltas com configuração dinâmica do Laravel Reverb e UI F1 premium"
2026-05-22;"Recurso: organizar campeonatos por etapa/eliminatória, refatorar MatchDetailsModal e AdminMatchManager em subcomponentes"
2026-05-15;"novidade"
2026-05-15;"novidade"
2026-05-14;"novidade"
2026-05-14;"novidade"
2026-05-14;"novidade"
2026-05-13;"Recurso: Temporizador global para lançamento em lote de voltas/distância"
2026-05-13;"Recurso: Implementar gerenciamento de campeonato multiformato, incluindo formato de voltas"
2026-05-13;"Recurso: cronômetro unificado de equipe/individual e modais de tempo manual com sincronização automática com os resultados da corrida"
2026-05-12;"Recurso: Finalizar a API do portal do cliente seguro e os endpoints de entrega de arquivos"
2026-05-12;"Recurso: Adicionar API do Portal do Cliente autenticada por token seguro para exe de auditoria"
2026-05-12;"novidade"
2026-05-12;"novidade"
2026-05-12;"novidade"
2026-05-12;"novidade"
2026-05-12;"novidade"
2026-05-12;"novidade"
2026-04-30;"Recurso: adicione suporte WebP à geração de arte"
2026-04-26;"novidade"
2026-04-25;"novidade"
2026-04-25;"novidade"
2026-04-23;"novidade"
2026-04-22;"novidade"
2026-04-22;"novidade"
2026-04-16;"novidade"
2026-04-16;"novidade"
2026-04-15;"novidade"
2026-04-15;"novidade"
2026-04-10;"novidade"
2026-04-10;"novidade"
2026-03-31;"adicionar perna pau"
2026-03-17;"Recurso: adicionar relatório de kit de produtos para campeonatos individuais com contagens de variantes"
2026-03-17;"Recurso: mostrar detalhamento de pagamento com descontos e cupons"
2026-03-17;"Recurso: adicionar filtragem de categoria e detalhamento de receita"
2026-03-10;"adicionar webhook tk"
2026-03-10;"adicionar opção de compra"
2026-03-09;"adicionar logs de front-end"
2026-03-04;"Recurso: adicionar suporte a 3 fotos no modal de add jogador do líder"
2026-03-04;"adicionar botão de download à foto do perfil do jogador"
2026-03-02;"Recurso: implementação exclusão/anonimização de conta para conformidade Google Play"
2026-02-28;"Adicionar página de Política de Privacidade e corrigir caminho do Android SDK do front-end raiz"
2026-02-27;"Recurso: Zerar cronômetro de partida em novos períodos de partidas offline de Futebol e Futebol7"
2026-02-27;"Recurso: Adicione resiliência offline ao BasqueteVoz, Handebol, Tenis e atualize o link da Agenda"
2026-02-26;"Recurso(EventController): adicionar pontos finais de detalhamento de estatísticas de 3 e 2 pontos para estatísticas de basquete"
2026-02-26;"Recurso(tenis): integre resiliência offline para rastreamento de pontos e definição de acabamento"
2026-02-26;"Recurso(volley): implementar botões MVP/Finish Match na sumula do Volley, melhorar o tamanho da exibição dos conjuntos e inverter o placar automaticamente"
2026-02-26;"Recurso: correções na exibição da página pública da partida para vôlei"
2026-02-26;"Recurso: volei emojis específicos, nomes de linha do tempo e correção de sincronização do cronômetro de partida"
2026-02-26;"Recurso: ajuste a quebra automática do texto artístico para quebrar na barra e > 15 caracteres"
2026-02-26;"Recurso: quebra automática de texto inteligente para nomes longos de equipes no gerador de arte"
2026-02-26;"Tarefa: reverter sumula volei para 4b6bff1 e salvar atual como atual"
2026-02-25;"Recurso: adicionar URL de front-end coolify às origens permitidas pelo CORS"
2026-02-25;"Recurso: compactação automática de imagens no frontend + limite de 4MB no backend"
2026-02-25;"Recurso: unifica botoes de cartao e craque na sumula (Futebol e Futebol7); Destaca-se contra a linha do tempo; UI morfismo de vidro escuro"
2026-02-25;"Recurso: implementar gancho de resiliência off-line universal em vários esportes, incluindo Futebol, Volei, F7, Futsal, Handebol e Futevolei"
2026-02-25;"Recurso: implementar gancho de resiliência off-line universal em vários esportes, incluindo Futebol, Volei, F7, Futsal, Handebol e Futevolei"
2026-02-24;"Recurso(volei): adicionar tempo definido, troca lateral automática e auxiliares de rotação"
2026-02-24;"Recurso: exibição de elencos e detalhes de falhas em auditorias"
2026-02-24;"Recurso: suporte massivo a gírias de basquete e confortável de comandos"
2026-02-24;"Recurso: melhoria robusta no reconhecimento de jogadores (nome e número por extenso)"
2026-02-24;"Recurso: auditório de voz e controle de cronômetro no admin"
2026-02-24;"Recurso: registra detalhes de voz e controle de tempo na súmula"
2026-02-24;"Recurso: histórico de eventos com exclusão e controle de quartos na soma de voz"
2026-02-24;"Recurso: melhorias na súmula de basquete por voz, cronômetro e lista de jogadores"
2026-02-23;"Recurso: apontador de voz de basquete com suporte a capacitor nativo"
2026-02-23;"Recurso: sincronize comandos de voz de basquete e detalhes públicos de partidas com eventos esportivos específicos"
2026-02-23;"Recurso: refinamentos de UI premium, substitutos de logotipo e correções de layout móvel"
2026-02-20;"Recurso: modal público com pílulas coloridas, frases por tipo e badge de time no mobile"
2026-02-20;"Recurso: frases poliesportivas, ordenação fases, filtro por rodada, fonte pílula suplementar"
2026-02-20;"Recurso: atualização de back-end"
2026-02-19;"Recurso(frontend): evitar suspensão da tela na súmula e melhorar a lógica de falta para futsal/sociedade"
2026-02-18;"adicionar guia de solução de problemas de upload"
2026-02-18;"Recurso: upload do player com remoção de fundo e melhorias no formulário"
2026-02-16;"Recurso: Adicionar evento de falta à ficha de jogo de futebol"
2026-02-16;"Recurso: Geração de arte por campeonato e edição de jogador no contexto da equipe"
2026-02-16;"Recurso(frontend): adicione registros para depurar atualização da foto do perfil"
2026-02-13;"adicionar modais de visualização de arte em tela cheia e logs de depuração"
2026-02-13;"adicionar visualização do editor de esportes"
2026-02-13;"adicionar módulo total pessoal"
2026-02-13;"adicionar módulo total pessoal"
2026-02-13;"adicionar módulo total pessoal"
2026-02-13;"adicionar módulo total pessoal"
2026-02-13;"adicionar módulo total pessoal"
2026-02-13;"adicionar módulo total pessoal"
2026-02-13;"adicionar módulo total pessoal"
2026-02-13;"adicionar módulo total pessoal"
2026-02-13;"adicionar módulo total pessoal"
2026-02-11;"Recurso: ajustar a geração de arte para o formato Story (1080x1920)"
2026-02-11;"Recurso: filtre a página de exploração por clube e adicione a guia Arte para corresponder aos detalhes do modal"
2026-02-11;"Recurso: atualizar página de configurações de arte para ser dinâmica e incluir Jogo Programado"
2026-02-11;"Recurso: implementar nomenclatura de plano de fundo específica do esporte para jogos programados"
2026-02-11;"Recurso: sincronização automática de status, status de campeonato inteligente e arte do Jogo Programado"
2026-02-10;"Recurso: melhorar o login, explorar, meus pedidos e funcionalidade da loja pública"
2026-02-10;"Recurso: Adicione a página do IA Lab e aumente o tempo limite de upload de fotos"
2026-02-10;"Recurso: permitir a edição de eventos de partida e pontuação no modal de resumo e corrigir a navegação após terminar a partida"
2026-02-10;"Recurso: Adiciona UI completa de produtos no assistente de corrida"
2026-02-10;"Recurso: Implementa sistema completo de produtos/brindes para corridas"
2026-02-09;"Recurso: adicionar funcionalidade de gol contra no Futsal e Futebol 7"
2026-02-09;"Recurso: adicionar modal de edição de jogadores com upload de foto"
2026-02-08;"Recurso: melhoria UX da arte do MVP e correção de abreviações"
2026-02-08;"Recurso: adicione página de teste para remoção de fundo com IA"
2026-02-08;"Recurso: Adicionar logs detalhados na Súmula para depuração"
2026-02-07;"Tarefa: ativar o modo de depuração para reverberação"
2026-02-07;"Recurso: sincronização robusta de timer com carimbos de data e hora do lado do servidor e indicador de status em tempo real"
2026-02-07;"Recurso: melhorar a UX da sumula móvel e adicionar opções desconhecidas/de meta própria"
2026-02-07;"Recurso: implementar seleção de MVP e corrigir ouvinte de Reverb"
2026-02-07;"Tarefa: mude a porta de reverberação para 9090"
2026-02-07;"Recurso: implementar atualizações em tempo real do Laravel Reverb e visualização de impressão de correspondência pública"
2026-02-07;"Recurso: melhore a visibilidade do relógio ao vivo e a capacidade de resposta do MatchDetailsModal"
2026-02-05;"Recurso: melhore a sincronização do cronômetro da partida ao vivo, a persistência e a automação da pontuação em todos os esportes"
2026-02-05;"Recurso: refinar a interface do usuário das súmulas esportivas, adicionar lógica de faltas para Futsal/Society e sincronização do cronômetro ao vivo para visualização pública"
2026-02-05;"Recurso: modal público de detalhes da partida com atualizações ao vivo e cronograma"
2026-02-05;"Recurso: Implemente o gerenciamento completo do produto (admin CRUD + visualização pública) e adicione navegação na barra lateral para Shop/TempAccess"
2026-02-05;"Recurso: Adicionar acesso temporário (administrador sazonal) com capacidade de renovação"
2026-02-05;"Recurso: Automatize a progressão do campeonato, disputa pelo 3º lugar e melhorias na interface do usuário"
2026-02-04;"Recurso: melhorar a criação de clubes e depurar a geração de partidas"
2026-02-04;"Recurso: corrigir problema de fuso horário de correspondência e adicionar suporte para vários trechos na geração de cronograma"
2026-02-04;"Recurso: atualizar o gerenciamento de partidas e adicionar pontuações de pênaltis"
2026-02-04;"Adicionar a funcionalidade Editar correspondência à página da lista de correspondências"
2026-02-04;"Permitir registro simplificado de jogadores para administradores (é necessário apenas o nome)"
2026-02-04;"Implementar representação e filtragem de barra lateral para superadministrador"
2026-02-04;"Adicionar ClubForm com gerenciamento de modalidades para superadministrador"
2026-02-04;"Implementar rotas de exclusão e atualização de clube + recursos de front-end"
2026-02-04;"Adicionar painel de superadministrador: gerenciamento de clube e configurações do sistema"
2026-02-04;"Adicionar pontos de extremidade para upload de logotipo e banner de configurações"
2026-02-03;"Recurso: adicione upload de fotos com remoção de BG ao formulário do jogador e corrija rotas de upload"
2026-02-03;"Recurso: atualizar controladores de back-end, rotas de API e integração de front-end"
2026-02-02;"feature: uploads de imagens de campeonato organizados com estrutura de pastas adequada"
2026-02-02;"feature: banners de clube personalizáveis com logo/brasão substituto"
2026-02-02;"feature: painel em tempo real com estatísticas e atividades ao vivo"
2026-02-02;"feature: separe o filtro 'Sem categoria' de 'Todos' no gerenciador de partidas"
2026-02-02;"Recurso(sumula): padronizar o ciclo de vida do status da partida e o registro de eventos em todos os esportes"
2026-02-02;"Recurso(settings): simplificar a visualização e o layout da fonte"
2026-02-02;"Recurso: implementar configurações de identidade visual com cores, fontes e upload de imagens para campeonatos. Adicionada visualização ao vivo e exclusão automática de ativos antigos no VPS."
2026-02-01;"Recurso: melhore o AdminMatchManager com classificação de data e funcionalidade de edição de correspondência"
2026-02-01;"Recurso: unificar a lógica do resumo da partida (súmula) em todos os esportes e adicionar exclusão de eventos"
2026-02-01;"Recurso(sumula): adicionar funcionalidade de exclusão de evento à súmula de futebol"
2026-02-01;"Recurso(sumula): adicionar eventos de cartão azul, assistência e mvp à súmula de futebol"
2026-02-01;"Recurso: adicione campos extras de jogador e corrija requisitos obrigatórios para e-mail, cpf, data de nascimento e sexo"
2026-01-31;"Recurso(admin): adicionar link de gerenciamento de jogadores à página de equipes do campeonato"
2026-01-31;"Recurso(admin): ativar o gerenciamento de jogadores nos detalhes da equipe e corrigir a contagem simulada da equipe"
2026-01-31;"Recurso(admin): substitua a contagem simulada da equipe por dados reais no painel do campeonato"
2026-01-31;"Recurso(validation): regras de elegibilidade de idade e sexo para atletas e capitães"
2026-01-31;"Recurso(settings): cores de whitelabel, gerenciamento de modalidades e segurança de superadministrador"
2026-01-31;"Recurso(admin): configurações avançadas de gerenciamento e correções de relatórios"
2026-01-30;"Recurso: Sistema completo de Vôlei, Reports e Player Tracking"
2026-01-29;"Recurso(admin): criação de dashboard de campeonato e melhoria de navegação"
2026-01-29;"Recurso: adicionar campos OCR (gender, rg, mother_name) + implementar testes automatizados PHPUnit"
2026-01-29;"Recurso: Implementar endpoint da agenda, login unificado e páginas de administração"
2026-01-29;"Recurso: aprimore ArtGeneratorController para suportar vários tipos de arte e planos de fundo dinâmicos"
2026-01-29;"Recurso: implementar geração de arte MVP do lado do servidor e galeria da web no estilo legado"
2026-01-29;"Recurso(frontend): implementar estatísticas de eventos, mvp, participantes e telas de espaço reservado para artes"
2026-01-29;"Recurso: implementar formatos de campeonato, lógica de grupos e limpeza de legado"
2026-01-27;"Recurso: redesenhar EventDetails para corresponder ao celular + melhorar a importação com o novo modo"
2026-01-28;"Tarefa: adicionar rota de depuração csv"
2026-01-28;"Recurso: melhorar a paridade da web com dispositivos móveis (filtragem ClubHome, atualização visual do Explore)"
2026-01-28;"Recurso: combine o fluxo da web com o fluxo de trabalho móvel (escolha clube -> página inicial do clube -> módulos)"
2026-01-28;"Recurso: adicione upload de documentos/fotos ao back-end e sincronize a página inicial da web com o fluxo móvel"
2026-01-28;"Recurso: implementação completa das páginas públicas (Explorar Eventos e Detalhes do Evento) estilo mobile em React Web"
2026-01-28;"Recurso: configuração de proxy para acessar api (/api) e phpmyadmin (/db) no mesmo domínio"
2026-01-28;"Tarefa: removendo portas expostas (80, 8082) para deixar o Coolify gerenciar ou roteamento"
2026-01-28;"Recurso: repositório limpo e reestruturado (backend + frontend) para implantar"